time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-08-07T13:27:10.850Z,35.1023331,-119.1348343,11.37,2.59,ml,54,45,0.06046,0.27,ci,ci40867520,2024-08-07T13:38:14.120Z,"25 km ENE of Maricopa, CA",earthquake,0.29,0.93,0.354,26,automatic,ci,ci
2024-08-07T12:55:37.009Z,34.74066667,-96.519,26.83,3.4,ml,94,64,0,0.25,ok,ok2024plct,2024-08-07T13:31:27.019Z,"9 km N of Stonewall, Oklahoma",earthquake,,0.5,0.22,38,reviewed,ok,ok
2024-08-07T12:38:22.110Z,11.539,-86.8399,42.002,5.1,mww,138,97,0.838,1.14,us,us6000nim4,2024-08-07T13:16:52.040Z,"44 km SW of Masachapa, Nicaragua",earthquake,6.96,3.497,0.052,35,reviewed,us,us
2024-08-07T12:36:44.350Z,11.6452,-86.7876,62.809,4.3,mb,53,145,0.727,0.51,us,us6000nim2,2024-08-07T13:12:12.040Z,"33 km WSW of Masachapa, Nicaragua",earthquake,6.44,9.209,0.09,35,reviewed,us,us
2024-08-07T12:34:03.910Z,35.0999985,-119.1103363,11.37,3.41,ml,105,25,0.04669,0.32,ci,ci40867368,2024-08-07T12:56:30.040Z,"24 km NW of Grapevine, CA",earthquake,0.23,0.87,0.39,21,reviewed,ci,ci
2024-08-07T12:27:19.640Z,35.0834999,-119.0823364,9.95,2.9,ml,96,25,0.02487,0.34,ci,ci40867344,2024-08-07T13:06:29.040Z,"21 km NW of Grapevine, CA",earthquake,0.27,0.67,0.416,25,automatic,ci,ci
2024-08-07T11:43:56.656Z,38.7223,-119.4467,15.9,2.6,ml,17,142.14000000000001,0.48,0.3841,nn,nn00882039,2024-08-07T13:25:45.448Z,"4 km ESE of Topaz Ranch Estates, Nevada",earthquake,,0.9,0.28,11,automatic,nn,nn
2024-08-07T10:39:19.160Z,35.1069984,-119.1186676,11.75,3.64,mw,117,20,0.05612,0.3,ci,ci40867136,2024-08-07T13:11:14.741Z,"25 km NW of Grapevine, CA",earthquake,0.24,0.9,,4,reviewed,ci,ci
2024-08-07T10:13:34.730Z,35.0854988,-119.0843353,11.66,2.99,ml,85,25,0.02684,0.3,ci,ci40867024,2024-08-07T10:52:11.287Z,"21 km NW of Grapevine, CA",earthquake,0.23,0.8,0.341,24,automatic,ci,ci
2024-08-07T10:04:15.702Z,18.295,145.2847,448.981,4.3,mb,36,142,3.075,0.38,us,us6000nilb,2024-08-07T11:33:10.040Z,"Pagan region, Northern Mariana Islands",earthquake,13.03,12.118,0.102,27,reviewed,us,us
